1 0 
0 1 
0.500004 0.499996 
0.250003 0.749997 
0.749997 0.250003 
0.375004 0.624996 
0.874989 0.125011 
0.624995 0.375005 
0.125019 0.874981 
0.0625134 0.937487 
0.937495 0.0625046 
0.437502 0.562498 
0.312498 0.687502 
0.687503 0.312497 
0.562504 0.437496 
0.187523 0.812477 
0.812456 0.187544 
0.843721 0.156279 
0.343752 0.656248 
0.156271 0.843729 
0.656246 0.343754 
0.468754 0.531246 
0.531253 0.468747 
0.0937707 0.906229 
0.406252 0.593748 
0.0312462 0.968754 
0.718752 0.281248 
0.96876 0.0312402 
0.593744 0.406256 
0.906258 0.0937423 
0.281262 0.718738 
0.21879 0.78121 
0.78125 0.21875 
0.203155 0.796845 
0.0468772 0.953123 
0.953125 0.0468752 
0.671874 0.328126 
0.859362 0.140638 
0.890616 0.109384 
0.359378 0.640622 
0.546879 0.453121 
0.390628 0.609372 
0.609368 0.390632 
0.703127 0.296873 
0.828079 0.171921 
0.265625 0.734375 
0.42188 0.57812 
0.0781359 0.921864 
0.453133 0.546867 
0.734377 0.265623 
